Matricula;Nome;Situacao;Cargo;Area;Chefe;Lotacao;Sexo;Grau_Instrucao;Data_Nascimento
10062;Bella Hadid;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Graduado;09/10/1996
10063;Emily Ratajkowski;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;07/06/1991
10064;Cara Delevingne;Inativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Pós-Graduado;12/08/1992
10065;Irina Shayk;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;06/01/1986
10066;Naomi Campbell;Ativa;Secretária;Administrativa;Sim;SAA - Secretaria Acadêmica;F;Mestrado;22/05/1970
10067;Tyra Banks;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;04/12/1973
10068;Claudia Schiffer;Ativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Mestrado;25/08/1970
10069;Cindy Crawford;Inativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;20/02/1966
10070;Linda Evangelista;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;10/05/1965
10071;Christy Turlington;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;02/01/1969
10072;Kate Moss;Ativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Mestrado;16/01/1974
10073;Naomi Watts;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;28/09/1968
10074;Rachel Weisz;Inativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;07/03/1970
10075;Cate Blanchett;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Mestrado;14/05/1969
10076;Tilda Swinton;Ativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Doutorado;05/11/1960
10077;Isabella Rossellini;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;18/06/1952
10078;Sophia Loren;Inativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;20/09/1934
10079;Audrey Hepburn;Inativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Graduado;04/05/1929
10080;Grace Jones;Ativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Mestrado;19/05/1948
10081;Vivien Leigh;Inativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;05/11/1913
10082;Ingrid Bergman;Inativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;29/08/1915
10083;Grace Kelly;Inativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Graduado;12/11/1929
10084;Marilyn Monroe;Inativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Mestrado;01/06/1926
10085;Joan Crawford;Inativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;23/03/1905
10086;Ava Gardner;Inativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;24/12/1922
10087;Elizabeth Taylor;Inativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;27/02/1932
10088;Rita Hayworth;Inativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Graduado;17/10/1918
10089;Jeanne Moreau;Inativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Pós-Graduado;23/01/1928
10090;Brigitte Bardot;Inativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Graduado;28/09/1934
10091;Jacqueline Bisset;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;13/09/1944
10092;Faye Dunaway;Ativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Mestrado;14/01/1941
10093;Jessica Lange;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Pós-Graduado;20/04/1949
10094;Meryl Streep;Ativa;Secretária;Administrativa;Sim;SAA - Secretaria Acadêmica;F;Mestrado;22/06/1949
10095;Diane Keaton;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Graduado;05/01/1946
10096;Frances Ford Coppola;Inativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Pós-Graduado;10/05/1953
10097;Sissy Spacek;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;25/12/1949
10098;Jessica Tandy;Inativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;07/06/1909
10099;Bette Davis;Inativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Graduado;05/04/1908
10100;Joan Fontaine;Inativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Mestrado;22/10/1917
10101;Iron Man;Ativo;Professor;Acadêmica;Não;Coordenação de ADS;M;Pós-Doutorado;29/05/1970
10102;Captain America;Ativo;Instrutor;Acadêmica;Não;Coordenação de Banco de Dados;M;Doutorado;11/07/1918
10103;Thor Odinson;Ativo;Professor;Tecnológica;Sim;Depto Tecnológico;M;Pos-Doutorado;05/05/1955
10104;Tiago;Ativo;Instrutor;Acadêmica;Não;Coordenação de ADS;M;Mestrado;03/11/1984
10105;Hulk;Ativo;Instrutor;Acadêmica;Não;Coordenação de Banco de Dados;M;Doutorado;18/12/1969
10106;Spider-Man;Ativo;Professor;Tecnológica;Não;Depto Tecnológico;M;Pós-Graduado;10/08/1995
10107;Doctor Strange;Ativo;Professor;Acadêmica;Não;Coordenação de ADS;M;Pós-Doutorado;25/11/1963
10108;Black Panther;Ativo;Instrutor;Acadêmica;Sim;Coordenação de Banco de Dados;M;Doutorado;29/06/1977
10109;Felipe;Ativo;Professor;Tecnológica;Não;Depto Tecnológico;M;Pos-Graduado;08/02/1989
10110;Paulo;Ativo;Instrutor;Tecnológica;Não;Depto Tecnológico;M;Pos-Doutorado;04/05/2015
10111;Superman;Ativo;Professor;Acadêmica;Sim;Coordenação de ADS;M;Doutorado;28/06/1978
10112;Batman;Ativo;Professor;Acadêmica;Não;Coordenação de Banco de Dados;M;Pós-Doutorado;01/02/1972
10113;Wonder Woman;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Mestrado;05/12/1984
10114;The Flash;Ativo;Instrutor;Tecnológica;Não;Depto Tecnológico;M;Pós-Graduado;13/03/1989
10115;Green Lantern;Ativo;Professor;Acadêmica;Não;Coordenação de Banco de Dados;M;Doutorado;02/07/1981
10116;Aquaman;Ativo;Instrutor;Recursos Humanos;Não;Depto de Recursos Humanos;M;Pós-Graduado;29/11/1986
10117;Pedro;Ativo;Auxiliar Administrativo;Administrativa;Não;SAA - Secretaria Acadêmica;M;Graduado;19/09/1971
10118;Simão;Ativo;Professor;Acadêmica;Não;Coordenação de ADS;M;Pós-Graduado;10/04/1989
10119;João;Ativo;Instrutor;Tecnológica;Não;Depto Tecnológico;M;Pós-Graduado;03/06/1977
10120;Jesus Emanuel;Ativo;Professor;Tecnológica;Não;Depto Tecnológico;M;Pós-Graduado;05/08/1980
10121;Bartolomeu;Ativo;Professor;Acadêmica;Não;Coordenação de Banco de Dados;M;Mestrado;15/04/1977
10122;Clemente;Ativo;Instrutor;Acadêmica;Não;Coordenação de ADS;M;Pós-Graduado;03/07/1985
10123;Mateus;Ativo;Instrutor;Tecnológica;Não;Depto Tecnológico;M;Doutorado;01/01/1979
10124;Estêvão;Ativo;Professor;Tecnológica;Sim;Depto Tecnológico;M;Doutorado;03/02/1990
10125;Marcos;Ativo;Instrutor;Acadêmica;Não;Coordenação de Banco de Dados;M;Mestrado;12/10/1981
10126;Lucas;Ativo;Professor;Acadêmica;Não;Coordenação de ADS;M;Pós-Graduado;15/03/1988
10127;André;Ativo;Instrutor;Recursos Humanos;Não;Depto de Recursos Humanos;M;Pós-Graduado;10/08/1992
10128;Tomás;Ativo;Auxiliar Administrativo;Administrativa;Não;SAA - Secretaria Acadêmica;M;Graduado;30/12/1988
10129;Barnabé;Ativo;Secretário;Administrativa;Não;SAA - Secretaria Acadêmica;M;Pós-Graduado;09/07/1990
10130;Timóteo;Ativo;Psicólogo;Recursos Humanos;Não;Depto de Recursos Humanos;M;Mestrado;12/05/1991
10131;Santos Dumont;Ativo;Professor;Acadêmica;Não;Coordenação de ADS;M;Doutorado;20/07/1873
10132;Leonardo da Vinci;Inativo;Instrutor;Acadêmica;Não;Coordenação de Banco de Dados;M;Pós-Doutorado;15/04/1452
10133;Michelangelo;Inativo;Professor;Acadêmica;Não;Coordenação de ADS;M;Pós-Doutorado;06/03/1475
10134;Galileo Galilei;Inativo;Instrutor;Acadêmica;Sim;Coordenação de Banco de Dados;M;Doutorado;15/02/1564
10135;Isaac Newton;Inativo;Professor;Acadêmica;Sim;Coordenação de ADS;M;Doutorado;04/01/1643
10136;Albert Einstein;Inativo;Instrutor;Tecnológica;Não;Depto Tecnológico;M;Pós-Doutorado;14/03/1879
10137;Nikola Tesla;Inativo;Professor;Tecnológica;Não;Depto Tecnológico;M;Doutorado;10/07/1856
10138;Marie Curie;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Pós-Doutorado;08/11/1867
10139;Stephen Hawking;Inativo;Instrutor;Acadêmica;Não;Coordenação de Banco de Dados;M;Pós-Doutorado;08/01/1942
10140;Carl Sagan;Ativo;Professor;Acadêmica;Não;Coordenação de ADS;M;Doutorado;09/11/1934
